title,author,year,text,source,word_count,contains_misinformation_indicators
"A large-scale bibliometric analysis of global climate change research
  between 2001 and 2018","
Hui-Zhen Fu
Department of Information Resources Management, School of Public Affairs, Zhejiang University, China
, 
Ludo Waltman
Centre for Science and Technology Studies, Leiden University, Leiden, The Netherlands
",2021,"  Global climate change is attracting widespread scientific, political, and
public attention owing to the involvement of international initiatives such as
the Paris Agreement and the Intergovernmental Panel on Climate Change. We
present a large-scale bibliometric analysis based on approximately 120,000
climate change publications between 2001 and 2018 to examine how climate change
is studied in scientific research. Our analysis provides an overview of
scientific knowledge, shifts of research hotspots, global geographical
distribution of research, and focus of individual countries. In our analysis,
we identify five key fields in climate change research: physical sciences,
paleoclimatology, climate-change ecology, climate technology, and climate
policy. We draw the following key conclusions: (1) Over the investigated time
period, the focus of climate change research has shifted from understanding the
climate system toward climate technologies and policies, such as efficient
energy use and legislation. (2) There is an imbalance in scientific production
between developed and developing countries. (3) Geography, national demands,
and national strategies have been important drivers that influence the research
interests and concerns of researchers in different countries. Our study can be
used by researchers and policy makers to reflect on the directions in which
climate change research is developing and discuss priorities for future
research.
",arXiv,202,False
"The Cost of Climate Action: Experimental Evidence on the Impact of
  Climate Information on Charitable Donations to Climate Activism","
Samantha Gonsalves Wetherell
, 
Anna Josephson
",2024,"  We examine the propensity of individuals to donate to climate activism,
evaluating the impact of different informational treatments on an incentive
compatible charitable donation and stated climate change-related concerns.
Participants were evaluated on climate literacy and general climate attitudes
before being randomly assigned to a treatment which provided either education
or neutral language about climate change, either with or without images of
protest. After the treatment, participants engaged in an incentive compatible
dictator game. We find that participants gave more to climate activism than
seen in previous dictator game and charitable giving experiments, in both
average amount given and proportion of participants who gave their entire
endowment. However, we determine that climate activism information negatively
influenced the amount of money donated. We also found that protest imagery
moderated this negative effect and had a positive significant effect of
increasing participants' climate concern. Finally, we found that the climate
concern was significantly positively correlated with donations, while being a
male was significantly negatively associated with donation amounts.
",arXiv,166,False
"NLP for Climate Policy: Creating a Knowledge Platform for Holistic and
  Effective Climate Action","
Pradip Swarnakar
, 
Ashutosh Modi
",2021,"  Climate change is a burning issue of our time, with the Sustainable
Development Goal (SDG) 13 of the United Nations demanding global climate
action. Realizing the urgency, in 2015 in Paris, world leaders signed an
agreement committing to taking voluntary action to reduce carbon emissions.
However, the scale, magnitude, and climate action processes vary globally,
especially between developed and developing countries. Therefore, from
parliament to social media, the debates and discussions on climate change
gather data from wide-ranging sources essential to the policy design and
implementation. The downside is that we do not currently have the mechanisms to
pool the worldwide dispersed knowledge emerging from the structured and
unstructured data sources.
  The paper thematically discusses how NLP techniques could be employed in
climate policy research and contribute to society's good at large. In
particular, we exemplify symbiosis of NLP and Climate Policy Research via four
methodologies. The first one deals with the major topics related to climate
policy using automated content analysis. We investigate the opinions
(sentiments) of major actors' narratives towards climate policy in the second
methodology. The third technique explores the climate actors' beliefs towards
pro or anti-climate orientation. Finally, we discuss developing a Climate
Knowledge Graph.
  The present theme paper further argues that creating a knowledge platform
would help in the formulation of a holistic climate policy and effective
climate action. Such a knowledge platform would integrate the policy actors'
varied opinions from different social sectors like government, business, civil
society, and the scientific community. The research outcome will add value to
effective climate action because policymakers can make informed decisions by
looking at the diverse public opinion on a comprehensive platform.
",arXiv,275,False
ClimateSet: A Large-Scale Climate Model Dataset for Machine Learning,"
Julia Kaltenborn
, 
Charlotte E. E. Lange
, 
Venkatesh Ramesh
, 
Philippe Brouillard
, 
Yaniv Gurwicz
, 
Chandni Nagda
, 
Jakob Runge
, 
Peer Nowack
, 
David Rolnick
",2023,"  Climate models have been key for assessing the impact of climate change and
simulating future climate scenarios. The machine learning (ML) community has
taken an increased interest in supporting climate scientists' efforts on
various tasks such as climate model emulation, downscaling, and prediction
tasks. Many of those tasks have been addressed on datasets created with single
climate models. However, both the climate science and ML communities have
suggested that to address those tasks at scale, we need large, consistent, and
ML-ready climate model datasets. Here, we introduce ClimateSet, a dataset
containing the inputs and outputs of 36 climate models from the Input4MIPs and
CMIP6 archives. In addition, we provide a modular dataset pipeline for
retrieving and preprocessing additional climate models and scenarios. We
showcase the potential of our dataset by using it as a benchmark for ML-based
climate model emulation. We gain new insights about the performance and
generalization capabilities of the different ML models by analyzing their
performance across different climate models. Furthermore, the dataset can be
used to train an ML emulator on several climate models instead of just one.
Such a ""super emulator"" can quickly project new climate change scenarios,
complementing existing scenarios already provided to policymakers. We believe
ClimateSet will create the basis needed for the ML community to tackle
climate-related tasks at scale.
",arXiv,218,False
Climate Modeling and Bifurcation,"
Mayer Humi
",2019,"  Many papers and monographs were written about the modeling the Earth climate
and its variability. However there is still an obvious need for a module that
presents the fundamentals of climate modeling to students at the undergraduate
level. The present educational paper attempts to fill in this gap. To this end
we collect in this paper the relevant climate data and present a simple zero
and one dimensional models for the mean temperature of the Earth. These models
can exhibit bifurcations from the present Earth climate to an ice age or a
""Venus type of climate"". The models are accompanied by Matlab programs which
enable the user to change the models parameters and explore the impact that
these changes might have on their predictions on Earth climate.
",arXiv,127,False
The physics of climate change: simple models in climate science,"
Nadir Jeevanjee
",2018,"  There is a perception that climate science can only be approached with
complex computer simulations. But working climate scientists often use simple
models to understand their simulations and make order-of-magnitude estimates.
This article presents some of these simple models with the goal of making
climate science more accessible and comprehensible.
",arXiv,50,False
Climate Monitoring using Internet of X-Things,"
Nasir Saeed
, 
Tareq Y. Al-Naffouri
, 
Mohamed-Slim Alouini
",2020,"  Global climate change is significantly affecting the life on planet Earth.
Predicting timely changes in the climate is a big challenge and requires great
attention from the scientific community. Research now suggests that using the
internet of X-things (X-IoT) helps in monitoring global climate change.
",arXiv,45,False
A review of effects of climate change on Agriculture in Africa,"
Samuel Asante Gyamerah
, 
Dennis Ikpe
",2021,"  Currently, agriculture in Africa contributes only a tenth to global Green
House Gas (GHG) emissions from agriculture. Despite its relatively low
contribution to GHG, a conundrum of ""climate justice"", adverse impacts of
climate change disproportionately threaten Africa's agriculture, the
Continent's main economic sector. Consequently, we seek to review the effects
of climate change on Agriculture.
",arXiv,55,False
Future Climate Change Projections over the Indian Region,"
J. Sanjay
, 
R. Krishnan
, 
M. V. S. Ramarao
, 
R. Mahesh
, 
Bhupendra Bahadur Singh
, 
Jayashri Patel
, 
Sandip Ingle
, 
Preethi Bhaskar
, 
J. V. Revadekar
, 
T. P. Sabin
, 
M. Mujumdar
",2020,"  Assessments of impacts of climate change and future projections over the
Indian region, have so far relied on a single regional climate model (RCM) -
eg., the PRECIS RCM of the Hadley Centre, UK. While these assessments have
provided inputs to various reports (e.g., INCCA 2010; NATCOMM2 2012), it is
important to have an ensemble of climate projections drawn from multiple RCMs
due to large uncertainties in regional-scale climate projections. Ensembles of
multi-RCM projections driven under different perceivable socio-economic
scenarios are required to capture the probable path of growth, and provide the
behavior of future climate and impacts on various biophysical systems and
economic sectors dependent on such systems.
  The Centre for Climate Change Research, Indian Institute of Tropical
Meteorology (CCCR-IITM) has generated an ensemble of high resolution downscaled
projections of regional climate and monsoon over South Asia until 2100 for the
Intergovernmental Panel for Climate Change (IPCC)using a RCM (ICTP-RegCM4) at
50 km horizontal resolution, by driving the regional model with lateral and
lower boundary conditions from multiple global atmosphere-ocean coupled models
from the Coupled Model Intercomparison Project Phase 5 (CMIP5). The future
projections are based on three Representation Concentration Pathway (RCP)
scenarios (viz., RCP2.6, RCP4.5, RCP8.5) of the IPCC.
",arXiv,201,False
Link Climate: An Interoperable Knowledge Graph Platform for Climate Data,"
Jiantao Wu
, 
Fabrizio Orlandi
, 
Declan O'Sullivan
, 
Soumyabrata Dev
",2022,"  Climate science has become more ambitious in recent years as global awareness
about the environment has grown. To better understand climate, historical
climate (e.g. archived meteorological variables such as temperature, wind,
water, etc.) and climate-related data (e.g. geographical features and human
activities) are widely used by today's climate research to derive models for an
explainable climate change and its effects. However, such data sources are
often dispersed across a multitude of disconnected data silos on the Web.
Moreover, there is a lack of advanced climate data platforms to enable
multi-source heterogeneous climate data analysis, therefore, researchers must
face a stern challenge in collecting and analyzing multi-source data. In this
paper, we address this problem by proposing a climate knowledge graph for the
integration of multiple climate data and other data sources into one service,
leveraging Web technologies (e.g. HTTP) for multi-source climate data analysis.
The proposed knowledge graph is primarily composed of data from the National
Oceanic and Atmospheric Administration's daily climate summaries,
OpenStreetMap, and Wikidata, and it supports joint data queries on these widely
used databases. This paper shows, with a use case in Ireland and the United
Kingdom, how climate researchers could benefit from this platform as it allows
them to easily integrate datasets from different domains and geographical
locations.
",arXiv,212,False
"State-dependence of climate sensitivity: attractor constraints and
  palaeoclimate regimes","
Anna S. von der Heydt
, 
Peter Ashwin
",2016,"  Equilibrium climate sensitivity (ECS) is a key predictor of climate change.
However, it is not very well constrained, either by climate models or by
observational data. The reasons for this include strong internal variability
and forcing on many time scales. In practise this means that the 'equilibrium'
will only be relative to fixing the slow feedback processes before comparing
palaeoclimate sensitivity estimates with estimates from model simulations. In
addition, information from the late Pleistocene ice age cycles indicates that
the climate cycles between cold and warm regimes, and the climate sensitivity
varies considerably between regime because of fast feedback processes changing
relative strength and time scales over one cycle.
  In this paper we consider climate sensitivity for quite general climate
dynamics. Using a conceptual Earth system model of Gildor and Tziperman (2001)
(with Milankovich forcing and dynamical ocean biogeochemistry) we explore
various ways of quantifying the state-dependence of climate sensitivity from
unperturbed and perturbed model time series. Even without considering any
perturbations, we suggest that climate sensitivity can be usefully thought of
as a distribution that quantifies variability within the 'climate attractor'
and where there is a strong dependence on climate state and more specificially
on the 'climate regime' where fast processes are approximately in equilibrium.
We also consider perturbations by instantaneous doubling of CO$_2$ and
similarly find a strong dependence on the climate state using our approach.
",arXiv,228,False
"Transitions in climate and energy discourse between Hurricanes Katrina
  and Sandy","
Emily M. Cody
, 
Jennie C. Stephens
, 
James P. Bagrow
, 
Peter Sheridan Dodds
, 
Christopher M. Danforth
",2015,"  Although climate change and energy are intricately linked, their explicit
connection is not always prominent in public discourse and the media.
Disruptive extreme weather events, including hurricanes, focus public attention
in new and different ways, offering a unique window of opportunity to analyze
how a focusing event influences public discourse. Media coverage of extreme
weather events simultaneously shapes and reflects public discourse on climate
issues. Here we analyze climate and energy newspaper coverage of Hurricanes
Katrina (2005) and Sandy (2012) using topic models, mathematical techniques
used to discover abstract topics within a set of documents. Our results
demonstrate that post-Katrina media coverage does not contain a climate change
topic, and the energy topic is limited to discussion of energy prices, markets,
and the economy with almost no explicit linkages made between energy and
climate change. In contrast, post-Sandy media coverage does contain a prominent
climate change topic, a distinct energy topic, as well as integrated
representation of climate change and energy, indicating a shift in climate and
energy reporting between Hurricane Katrina and Hurricane Sandy.
",arXiv,175,False
"How relevant is climate change research for climate change policy? An
  empirical analysis based on Overton data","
Lutz Bornmann
, 
Robin Haunschild
, 
Kevin Boyack
, 
Werner Marx
, 
Jan C. Minx
",2022,"  Climate change is an ongoing topic in nearly all areas of society since many
years. A discussion of climate change without referring to scientific results
is not imaginable. This is especially the case for policies since action on the
macro scale is required to avoid costly consequences for society. In this
study, we deal with the question of how research on climate change and policy
are connected. In 2019, the new Overton database of policy documents was
released including links to research papers that are cited by policy documents.
The use of results and recommendations from research on climate change might be
reflected in citations of scientific papers in policy documents. Although we
suspect a lot of uncertainty related to the coverage of policy documents in
Overton, there seems to be an impact of international climate policy cycles on
policy document publication. We observe local peaks in climate policy documents
around major decisions in international climate diplomacy. Our results point
out that IGOs and think tanks -- with a focus on climate change -- have
published more climate change policy documents than expected. We found that
climate change papers that are cited in climate change policy documents
received significantly more citations on average than climate change papers
that are not cited in these documents. Both areas of society (science and
policy) focus on similar climate change research fields: biology, earth
sciences, engineering, and disease sciences. Based on these and other empirical
results in this study, we propose a simple model of policy impact considering a
chain of different document types: the chain starts with scientific assessment
reports (systematic reviews) that lead via science communication documents
(policy briefs, policy reports or plain language summaries) and government
reports to legislative documents.
",arXiv,289,False
"The Human Effect Requires Affect: Addressing Social-Psychological
  Factors of Climate Change with Machine Learning","
Kyle Tilbury
, 
Jesse Hoey
",2020,"  Machine learning has the potential to aid in mitigating the human effects of
climate change. Previous applications of machine learning to tackle the human
effects in climate change include approaches like informing individuals of
their carbon footprint and strategies to reduce it. For these methods to be the
most effective they must consider relevant social-psychological factors for
each individual. Of social-psychological factors at play in climate change,
affect has been previously identified as a key element in perceptions and
willingness to engage in mitigative behaviours. In this work, we propose an
investigation into how affect could be incorporated to enhance machine learning
based interventions for climate change. We propose using affective agent-based
modelling for climate change as well as the use of a simulated climate change
social dilemma to explore the potential benefits of affective machine learning
interventions. Behavioural and informational interventions can be a powerful
tool in helping humans adopt mitigative behaviours. We expect that utilizing
affective ML can make interventions an even more powerful tool and help
mitigative behaviours become widely adopted.
",arXiv,174,False
On the Financing of Climate Change Adaptation in Developing Countries,"
Francis X. Diebold
",2022,"  I offer reflections on adaptation to climate change, with emphasis on
developing areas.
",arXiv,13,False
Leveraging machine learning to enhance climate models: a review,"
Ahmed Elsayed
, 
Shrouk Wally
, 
Islam Alkabbany
, 
Asem Ali
, 
Aly Farag
",2023,"  Recent achievements in machine learning (Ml) have had a significant impact on
various fields, including climate science. Climate modeling is very important
and plays a crucial role in shaping the decisions of governments and
individuals in mitigating the impact of climate change. Climate change poses a
serious threat to humanity, however, current climate models are limited by
computational costs, uncertainties, and biases, affecting their prediction
accuracy. The vast amount of climate data generated by satellites, radars, and
earth system models (ESMS) poses a significant challenge. ML techniques can be
effectively employed to analyze this data and extract valuable insights that
aid in our understanding of the earth climate. This review paper focuses on how
ml has been utilized in the last 5 years to boost the current state-of-the-art
climate models. We invite the ml community to join in the global effort to
accurately model the earth climate by collaborating with other fields to
leverage ml as a powerful tool in this endeavor.
",arXiv,162,False
"The Reality of Climate Change: Evidence, Impacts and Engineering
  Solutions","
Sihua Lu
",2024,"  Climate change is one of the most significant global challenges, yet
misconceptions persist regarding its causes and impact. This report addresses
common myths surrounding climate change and presents scientific evidence to
clarify its reality. Utilising data from NASA, NOAA, and the NSW government,
this study provides evidence of rising global temperatures, melting ice sheets,
rising sea levels, and extreme weather patterns in regions like New South
Wales. The analysis demonstrates the human-driven nature of climate change,
primarily caused by increased carbon emissions. Engineering solutions,
including renewable energy technologies, green buildings, and carbon capture
methods, are essential to mitigating the effects of climate change. Future
research should focus on improving the scalability of these technologies and
addressing the broader impact on ecosystems and human societies.
",arXiv,124,False
"Understanding the Impact of Seasonal Climate Change on Canada's Economy
  by Region and Sector","
Shiyu He
, 
Trang Bui
, 
Yuying Huang
, 
Wenling Zhang
, 
Jie Jian
, 
Samuel W. K. Wong
, 
Tony S. Wirjanto
",2023,"  To assess the impact of climate change on the Canadian economy, we
investigate and model the relationship between seasonal climate variables and
economic growth across provinces and economic sectors. We further provide
projections of climate change impacts up to the year 2050, taking into account
the diverse climate change patterns and economic conditions across Canada. Our
results indicate that rising Fall temperature anomalies have a notable adverse
impact on Canadian economic growth. Province-wide, Saskatchewan and Manitoba
are anticipated to experience the most substantial declines, whereas British
Columbia and the Maritime provinces will be less impacted. Industry-wide,
Mining is projected to see the greatest benefits, while Agriculture and
Manufacturing are projected to have the most significant downturns. The
disparities of climate change effects between provinces and industries
highlight the need for governments to tailor their policies accordingly, and
offer targeted assistance to regions and industries that are particularly
vulnerable in the face of climate change. Targeted approaches to climate change
mitigation are likely to be more effective than one-size-fits-all policies for
the whole economy.
",arXiv,173,False
The Role of Uncertainty in Controlling Climate Change,"
Yongyang Cai
",2020,"  Integrated Assessment Models (IAMs) of the climate and economy aim to analyze
the impact and efficacy of policies that aim to control climate change, such as
carbon taxes and subsidies. A major characteristic of IAMs is that their
geophysical sector determines the mean surface temperature increase over the
preindustrial level, which in turn determines the damage function. Most of the
existing IAMs are perfect-foresight forward-looking models, assuming that we
know all of the future information. However, there are significant
uncertainties in the climate and economic system, including parameter
uncertainty, model uncertainty, climate tipping risks, economic risks, and
ambiguity. For example, climate damages are uncertain: some researchers assume
that climate damages are proportional to instantaneous output, while others
assume that climate damages have a more persistent impact on economic growth.
Climate tipping risks represent (nearly) irreversible climate events that may
lead to significant changes in the climate system, such as the Greenland ice
sheet collapse, while the conditions, probability of tipping, duration, and
associated damage are also uncertain. Technological progress in carbon capture
and storage, adaptation, renewable energy, and energy efficiency are uncertain
too. In the face of these uncertainties, policymakers have to provide a
decision that considers important factors such as risk aversion, inequality
aversion, and sustainability of the economy and ecosystem. Solving this problem
may require richer and more realistic models than standard IAMs, and advanced
computational methods. The recent literature has shown that these uncertainties
can be incorporated into IAMs and may change optimal climate policies
significantly.
",arXiv,249,False
"ClimateNLP: Analyzing Public Sentiment Towards Climate Change Using
  Natural Language Processing","
Ajay Krishnan
, 
V. S. Anoop
",2023,"  Climate change's impact on human health poses unprecedented and diverse
challenges. Unless proactive measures based on solid evidence are implemented,
these threats will likely escalate and continue to endanger human well-being.
The escalating advancements in information and communication technologies have
facilitated the widespread availability and utilization of social media
platforms. Individuals utilize platforms such as Twitter and Facebook to
express their opinions, thoughts, and critiques on diverse subjects,
encompassing the pressing issue of climate change. The proliferation of climate
change-related content on social media necessitates comprehensive analysis to
glean meaningful insights. This paper employs natural language processing (NLP)
techniques to analyze climate change discourse and quantify the sentiment of
climate change-related tweets. We use ClimateBERT, a pretrained model
fine-tuned specifically for the climate change domain. The objective is to
discern the sentiment individuals express and uncover patterns in public
opinion concerning climate change. Analyzing tweet sentiments allows a deeper
comprehension of public perceptions, concerns, and emotions about this critical
global challenge. The findings from this experiment unearth valuable insights
into public sentiment and the entities associated with climate change
discourse. Policymakers, researchers, and organizations can leverage such
analyses to understand public perceptions, identify influential actors, and
devise informed strategies to address climate change challenges.
",arXiv,204,False
Regional Climate Change Datasets for South Asia,"
J. Sanjay
, 
M. V. S. Ramarao
, 
R. Mahesh
, 
Sandip Ingle
, 
Bhupendra Bahadur Singh
, 
R. Krishnan
",2020,"  The Centre for Climate Change Research (CCCR;http://cccr.tropmet.res.in) at
the Indian Institute of Tropical Meteorology (IITM; http://www.tropmet.res.in),
Pune, launched in 2009 with the support of the Ministry of Earth Sciences
(MoES), Government of India, focuses on the development of new climate
modelling capabilities in India and South Asia to address issues concerning the
science of climate change. CCCR-IITM has the mandate of developing an Earth
System Model and to make the regional climate projections. An important
achievement was made by developing an Earth System Model at IITM, which is an
important step towards understanding global and regional climate response to
long-term climate variability and climate change. CCCR-IITM has also generated
an ensemble of high resolution dynamically downscaled future projections of
regional climate over South Asia and Indian monsoon, which are found useful for
impact assessment studies and for quantifying uncertainties in the regional
projections. A brief overview of these core climate change modeling activities
of CCCR-IITM was presented in an Interim Report on Climate Change over India
(available at http://cccr.tropmet.res.in/home/reports.jsp)
",arXiv,169,False
CLIMATE-FEVER: A Dataset for Verification of Real-World Climate Claims,"
Thomas Diggelmann
, 
Jordan Boyd-Graber
, 
Jannis Bulian
, 
Massimiliano Ciaramita
, 
Markus Leippold
",2020,"  We introduce CLIMATE-FEVER, a new publicly available dataset for verification
of climate change-related claims. By providing a dataset for the research
community, we aim to facilitate and encourage work on improving algorithms for
retrieving evidential support for climate-specific claims, addressing the
underlying language understanding challenges, and ultimately help alleviate the
impact of misinformation on climate change. We adapt the methodology of FEVER
[1], the largest dataset of artificially designed claims, to real-life claims
collected from the Internet. While during this process, we could rely on the
expertise of renowned climate scientists, it turned out to be no easy task. We
discuss the surprising, subtle complexity of modeling real-world
climate-related claims within the \textsc{fever} framework, which we believe
provides a valuable challenge for general natural language understanding. We
hope that our work will mark the beginning of a new exciting long-term joint
effort by the climate science and AI community.
",arXiv,149,False
